3.637331399999999917e+02 -1.317301662989851430e+01 2.140189016012310930e+01
3.637358199999999897e+02 -1.731090380267621498e+01 3.937625956527913473e+01
3.637385100000000193e+02 -2.128117964593796785e+01 6.613666808880148551e+01
3.637411900000000173e+02 -2.486146720732226356e+01 2.148234839380778283e+01
3.637438799999999901e+02 -2.790305707867405971e+01 2.130534027970150035e+01
3.637465599999999881e+02 -3.023558843051275602e+01 2.276968013276255576e+01
3.637492300000000114e+02 -3.175404854870696525e+01 1.871458515505501907e+01
3.637519100000000094e+02 -3.239595944191384547e+01 1.819965245947311061e+01
3.637545900000000074e+02 -3.212286382944753171e+01 2.088695746454120084e+01
3.637572700000000054e+02 -3.094803570372726043e+01 1.741116176936331073e+01
3.637599500000000035e+02 -2.892857836089858381e+01 1.916515126368918942e+01
3.637626200000000267e+02 -2.617420083105347572e+01 1.789391117147134835e+01
3.637653099999999995e+02 -2.278468702166428983e+01 2.244784719802386164e+01
3.637679800000000228e+02 -1.897376385601076976e+01 1.959962572558642435e+01
3.637706699999999955e+02 -1.487118637408012845e+01 1.939043431800627815e+01
3.637733400000000188e+02 -1.073564396666477450e+01 2.243175555128692622e+01
3.637760299999999916e+02 -6.707944372113072262e+00 2.598800948014948631e+01
3.637787200000000212e+02 -3.016304985232073577e+00 2.460412786077310798e+01
3.637814000000000192e+02 1.478592800675695429e-01 1.889159326916130155e+01
3.637867499999999836e+02 4.349583363165777428e+00 2.692132499089170139e+01
3.637894299999999816e+02 5.190833305859417379e+00 2.116051545906908871e+01
3.637921000000000049e+02 5.122127220133080527e+00 1.919733455716306025e+01
3.637947899999999777e+02 4.140995306271165077e+00 2.331679612181833505e+01
3.637947899999999777e+02 4.140995306271165077e+00 2.692132499089170139e+01
3.637974699999999757e+02 2.300935432554766180e+00 3.060631209364973770e+01
3.638001600000000053e+02 -3.216244018404186278e-01 2.444321139340376092e+01
3.638028400000000033e+02 -3.579793430030203893e+00 2.415356175213893763e+01
3.638055200000000013e+02 -7.323584713086367159e+00 2.949598846880124370e+01
