4.017554600000000278e+02 -3.894071685191154586e+01
4.017581400000000258e+02 -4.772831952493815066e+01
4.017608399999999733e+02 -5.620059832653763010e+01
4.017635099999999966e+02 -6.379424812083768614e+01
4.017662000000000262e+02 -7.028306748176808583e+01
4.017688999999999737e+02 -7.530451085990905824e+01
4.017715799999999717e+02 -7.856691276127625656e+01
4.017742499999999950e+02 -7.995316283373352917e+01
4.017769499999999994e+02 -7.939484902148186052e+01
4.017796200000000226e+02 -7.693126462457482262e+01
4.017823200000000270e+02 -7.262881007164152436e+01
4.017823200000000270e+02 -7.262881007164152436e+01
4.017850099999999998e+02 -6.674127988493849273e+01
4.017876999999999725e+02 -5.954429406799284408e+01
4.017903900000000021e+02 -5.139027156339499669e+01
4.017930700000000002e+02 -4.271139267852580446e+01
4.017957599999999729e+02 -3.386813989346227771e+01
4.017984400000000278e+02 -2.535582781181743073e+01
4.018011300000000006e+02 -1.752802046107090206e+01
4.018038000000000238e+02 -1.084572213966632503e+01
4.018065000000000282e+02 -5.519727644809883316e+00
4.018091800000000262e+02 -1.914780220473474515e+00
4.018118600000000242e+02 -1.609900303114528697e-01
4.018145400000000222e+02 -3.436012035827999966e-01
4.018172099999999887e+02 -2.442379876076088863e+00
4.018199099999999930e+02 -6.406722850173153461e+00
4.018226000000000226e+02 -1.200468921762545449e+01
4.018252800000000207e+02 -1.894547570822527760e+01
